SEQ_KEY;ORDEM;VARIACAO_IMXIC;DIF_CUSTO_P_x_R;MAT_DIF_PERCENTUAL;TAXA_MAQUINA_FIXA;TAXA_MO_FIXA;TAXA_FIXA_VAR_MO;MO_VALOR;HR_MAQ_VALOR;HR_EXC_VLR;HR_CONFIG_VLR;MO_VARIACAO;EXTERNA_OPERACAO;OUTCOME
420849;532891;0.00;-0.11;-0.11;-0.07;-0.01;0;-0.17;0;0.02;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
420883;532238;0.00;0.14;0.14;-0.34;-0.06;0;-0.57;-0.18;0.21;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
420913;530331;0.00;-0.53;-0.49;-0.34;-0.06;0;-0.79;-0.6;-0.41;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421005;532484;0.00;0.33;0.39;-0.34;-0.06;0;-0.85;-0.44;-0.47;0;0;0;REQUER JUSTIFICATIVA FABRICA
421089;532780;0.00;-0.09;-0.08;-0.34;-0.06;0;-0.66;-0.35;-0.06;0;0;0;APROVADO AUTOMATICAMENTE
421110;532784;0.00;-0.1;-0.09;-0.34;-0.06;0;-0.66;-0.35;-0.06;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421142;530346;0.00;-0.18;-0.25;-0.07;-0.01;0;-0.29;-0.07;-0.1;-1;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421162;532340;0.00;-0.56;-0.54;-0.34;-0.06;0;-0.68;-0.39;-0.12;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421183;532866;0.00;-0.07;-0.07;-0.07;-0.01;0;-0.04;0;0.25;0;0;0;APROVADO AUTOMATICAMENTE
408844;522989;0.00;0.22;0.15;-0.43;-0.18;0;0.44;4.58;3.02;0;0;0;REQUER JUSTIFICATIVA FABRICA
409557;523580;0.00;0.02;0.02;-0.23;-0.18;0;-0.17;0;-0.11;0;0;0;APROVADO AUTOMATICAMENTE
409894;523470;0.00;-0.14;-0.14;-0.23;-0.18;0;0.05;-0.17;-0.12;-0.02;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
409972;523751;0.00;-0.06;-0.05;-0.23;-0.18;0;-0.34;-0.01;-0.27;-1;0;0;APROVADO AUTOMATICAMENTE
409975;523464;0.00;-0.15;-0.15;-0.23;-0.18;0;-0.44;0;-0.26;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
410106;523471;0.00;-0.11;-0.14;-0.23;-0.18;0;0.13;-0.1;-0.06;-0.02;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
410351;523511;0.00;-0.08;-0.07;-0.43;-0.18;0;-0.64;-0.17;0.19;0;0;0;APROVADO AUTOMATICAMENTE
410457;524776;0.00;-0.15;-0.14;-0.23;-0.18;0;-0.41;-0.41;-0.19;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
410500;524757;0.00;0.03;-0.02;-0.43;-0.18;0;-0.42;0.06;0.52;0;0;0;APROVADO AUTOMATICAMENTE
410774;526007;0.00;-0.22;-0.11;-0.23;-0.18;0;-0.49;-0.43;-0.41;-0.54;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
410876;523365;0.00;0.02;0;0;0;0;0;0;0;0;0;0.02;APROVADO AUTOMATICAMENTE
410881;518436;0.00;0.02;0.02;-0.23;-0.18;0;-0.25;0;-0.1;0;0;0;APROVADO AUTOMATICAMENTE
410957;408769;0.00;0;0.05;-0.23;-0.18;0;-0.83;0;-0.79;0;0;0;APROVADO AUTOMATICAMENTE
411059;523513;0.00;0.05;0.04;-0.43;-0.18;0;-0.14;0.25;0.8;0;0;0;APROVADO AUTOMATICAMENTE
411136;518687;0.00;-0.12;-0.12;-0.23;-0.18;0;-0.03;0;0.15;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411204;518472;0.00;-0.04;-0.04;-0.23;-0.18;0;-0.17;0;-0.02;0;0;0;APROVADO AUTOMATICAMENTE
411431;526706;0.00;-0.48;-0.22;-0.43;-0.18;0;-0.66;-0.37;-0.08;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
402942;517038;0.00;0.13;0.11;-0.24;-0.19;0;-0.17;1.06;1.19;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
403317;514855;0.00;0.14;0.15;-0.24;-0.19;0;-0.52;0.23;0.31;0;0;0;REQUER JUSTIFICATIVA FABRICA
403448;508920;0.00;0.16;0.16;0.29;0.51;0;-0.44;0;0.79;0;0;0;REQUER JUSTIFICATIVA FABRICA
403620;513387;0.00;0.24;0.24;0.29;0.51;0;-0.18;0;0.68;0;0;0;REQUER JUSTIFICATIVA FABRICA
403709;513102;0.00;0.02;0.02;0.29;0.51;0;0.27;0;1.59;0;0;-1;APROVADO AUTOMATICAMENTE
403783;517329;0.00;0.03;0.03;-0.24;-0.19;0;-0.59;0.05;0.12;0;0;0;APROVADO AUTOMATICAMENTE
403831;515116;0.00;0.32;0.33;0.29;0.51;0;-0.42;0;0.27;0;0;0;REQUER JUSTIFICATIVA FABRICA
403857;517334;0.00;0.07;0.07;-0.24;-0.19;0;-0.51;0.27;0.35;0;0;0;APROVADO AUTOMATICAMENTE
404121;512565;0.00;0.09;0.08;0.29;0.51;0;-0.23;0;0.74;0;0;0;APROVADO AUTOMATICAMENTE
404135;513896;0.00;0.11;0.11;0.29;0.51;0;-0.24;0;0.65;0;0;0;REQUER JUSTIFICATIVA FABRICA
404350;512566;0.00;0.08;0.08;0.29;0.51;0;-0.3;0;0.6;0;0;0;APROVADO AUTOMATICAMENTE
404459;517620;0.00;0.07;0.08;-0.24;-0.19;0;-0.6;-0.06;0;0;0;0;APROVADO AUTOMATICAMENTE
404480;517352;0.00;0.66;0.12;-0.24;-0.19;0;1.19;4.12;5.09;0;0;0;REQUER JUSTIFICATIVA FABRICA
404558;517588;0.00;-0.06;-0.02;-0.24;-0.19;0;-0.73;-0.28;-0.23;0;0;0;APROVADO AUTOMATICAMENTE
404614;513921;0.00;0.09;0.08;0.29;0.51;0;-0.28;0;0.7;0;0;0;APROVADO AUTOMATICAMENTE
405026;517355;0.00;-0.08;-0.08;-0.24;-0.19;0;-0.64;-0.09;-0.03;0;0;0;APROVADO AUTOMATICAMENTE
405155;513714;0.00;0.02;0.02;-0.05;0.11;0;-0.3;0;0.11;0;0;0;APROVADO AUTOMATICAMENTE
403919;517397;0.00;-0.01;0;-0.24;-0.19;0;-0.14;-1;1.16;0;0;0;APROVADO AUTOMATICAMENTE
403950;505809;0.00;0.23;0.24;0.29;0.51;0.92;-0.29;0.44;0.52;-0.2;0.92;0;REQUER JUSTIFICATIVA FABRICA
403960;512805;0.00;0.41;-0.02;0.29;0.51;0;3.85;5.42;4.27;-0.39;0;0;REQUER JUSTIFICATIVA FABRICA
403981;510859;0.00;0.05;0.05;0.29;0.51;0;-0.6;0;-0.06;0;0;0;APROVADO AUTOMATICAMENTE
403999;517346;0.00;-0.15;-0.15;-0.24;-0.19;0;-0.64;-0.14;0.11;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
404024;512409;0.00;0.08;0.08;0.29;0.51;0;-0.34;0;0.53;0;0;0;APROVADO AUTOMATICAMENTE
404034;509780;0.00;0.22;0.22;0.29;0.51;0;-0.39;0;0.32;0;0;0;REQUER JUSTIFICATIVA FABRICA
404247;517422;0.00;0.14;0.14;-0.24;-0.19;0;-0.44;0.33;0.41;0;0;0;REQUER JUSTIFICATIVA FABRICA
404427;516954;0.00;-0.07;-0.06;-0.24;-0.19;0;-0.61;-0.07;-0.02;0;0;0;APROVADO AUTOMATICAMENTE
404629;513824;0.00;0.24;0.24;0.29;0.51;0;-0.24;0;0.62;0;0;0;REQUER JUSTIFICATIVA FABRICA
404979;516904;0.00;0.1;0.03;0.29;0.51;0;0.15;0.93;1.46;1.26;0;0;CUSTO NÃO APROVADO
405260;517853;0.00;0.1;0.07;-0.27;-0.23;0;-0.57;0.02;0.08;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
405266;517882;0.00;0.09;0.08;-0.27;-0.23;0;-0.33;0.55;0.64;0;0;0;APROVADO AUTOMATICAMENTE
405304;517759;0.00;-0.01;-0.01;-0.05;0.11;0;0.07;0;0.77;0;0;0;APROVADO AUTOMATICAMENTE
405407;512390;0.00;-0.11;-0.12;-0.05;0.11;0;0.35;0;0.98;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
405486;518095;0.00;-0.03;-0.03;-0.05;0.11;0;-0.31;0;0.16;0;0;0;APROVADO AUTOMATICAMENTE
408045;522864;0.00;0.07;0.03;-0.27;-0.23;0;-0.62;-0.09;-0.04;0;0;0;APROVADO AUTOMATICAMENTE
408047;519298;0.00;-0.07;-0.07;-0.05;0.11;0;-0.06;0;0.45;0;0;-1;APROVADO AUTOMATICAMENTE
408093;522918;0.00;1.01;1.05;-0.27;-0.23;0;-0.58;0.01;0.07;0;0;0;REQUER JUSTIFICATIVA FABRICA
408308;521442;0.00;0.13;-0.03;-0.05;0.11;0;2.65;1.95;1.15;-1;0;0;REQUER JUSTIFICATIVA FABRICA
408477;522961;0.00;0.01;0.01;-0.27;-0.23;0;-0.58;0.06;0.12;0;0;0;APROVADO AUTOMATICAMENTE
408599;519049;0.00;0.06;0.14;-0.05;0.11;0;-0.33;-0.07;0;-1;0;0;APROVADO AUTOMATICAMENTE
408950;523278;0.00;-0.07;-0.09;-0.23;-0.18;0;0.64;0;0.83;0;0;0;APROVADO AUTOMATICAMENTE
409005;523080;0.00;-0.11;-0.09;-0.23;-0.18;0;-0.78;0;-0.74;0;0;-1;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
409039;519938;0.00;-0.06;-0.06;-0.23;-0.18;0;-0.4;0;-0.25;0;0;0;APROVADO AUTOMATICAMENTE
409340;523781;0.00;-0.21;-0.14;-0.23;-0.18;0;-0.2;-0.35;-0.35;-0.61;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
409368;519209;0.00;-0.13;-0.12;-0.23;-0.18;0;-0.49;0;-0.32;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
409393;523911;0.00;0.05;-0.24;-0.43;-0.18;0;-0.57;-0.19;0.17;0;0;0;APROVADO AUTOMATICAMENTE
409409;523835;0.00;-0.2;-0.2;-0.23;-0.18;0;-0.22;0;-0.13;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
409435;523352;0.00;0.01;-0.02;-0.43;-0.18;0;-0.66;-0.37;-0.09;0;0;0;APROVADO AUTOMATICAMENTE
409497;523748;0.00;-0.03;-0.03;-0.23;-0.18;0;0.03;0.14;0.15;-1;0;0;APROVADO AUTOMATICAMENTE
409661;523641;0.00;-0.02;-0.01;-0.23;-0.18;0;-0.58;0;-0.47;0;0;0;APROVADO AUTOMATICAMENTE
409671;523917;0.00;0.31;-0.04;-0.43;-0.18;0;-0.55;-0.16;0.2;0;0;0;REQUER JUSTIFICATIVA FABRICA
411306;514914;0.98;0.33;-0.31;-0.23;-0.18;0;-1;0;-1;0;0;0.67;CUSTO NÃO APROVADO
411311;514897;0.00;-0.32;-0.3;-0.23;-0.18;0;-1;0;-1;0;0;-1;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411362;526705;0.00;-0.48;-0.22;-0.43;-0.18;0;-0.72;-0.47;-0.24;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411442;523058;0.00;-0.02;-0.02;-0.23;-0.18;0;-0.43;0;-0.32;0;0;0;APROVADO AUTOMATICAMENTE
411487;526959;0.00;0.47;0.46;-0.23;-0.18;0;-0.9;0;-0.88;0;0;0;REQUER JUSTIFICATIVA FABRICA
411500;523702;0.00;-0.12;-0.12;-0.23;-0.18;0;-0.31;0;-0.11;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411521;518767;0.00;-0.09;-0.09;-0.23;-0.18;0;-0.15;0;-0.02;0;0;0;APROVADO AUTOMATICAMENTE
411564;526130;0.00;-0.03;-0.02;-0.23;-0.18;0;-0.29;-0.32;-0.34;-0.24;0;0;CUSTO NÃO APROVADO
411583;524574;0.00;0;0;-0.23;-0.18;0;0.02;0;0.23;0;0;0;APROVADO AUTOMATICAMENTE
411736;526562;0.00;0.02;-0.02;-0.43;-0.18;0;-0.53;-0.17;0.2;0;0;0;APROVADO AUTOMATICAMENTE
411882;525946;0.00;-0.16;-0.15;-0.23;-0.18;0;-0.44;-0.38;-0.32;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411907;526016;0.00;-0.22;-0.11;-0.23;-0.18;0;-0.48;-0.42;-0.41;-0.58;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411920;518497;0.00;-0.19;-0.19;-0.23;-0.18;0;-0.22;0;-0.13;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411999;518423;0.00;-0.04;-0.04;-0.23;-0.18;0;0.17;0;0.45;0;0;0;APROVADO AUTOMATICAMENTE
412064;526730;0.00;-0.3;-0.31;-0.43;-0.18;0;-0.47;-0.06;0.35;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
412086;518523;0.00;-0.23;-0.23;-0.23;-0.18;0;-0.65;0;-0.6;0;0;-1;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
414666;523006;0.00;-0.06;-0.05;-0.21;-0.16;0;-0.43;0;-0.29;0;0;0;APROVADO AUTOMATICAMENTE
414710;528507;0.00;-0.13;-0.1;-0.21;-0.16;0;-0.51;-0.5;-0.47;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
415179;528877;0.00;-0.04;-0.03;-0.44;-0.2;0;-0.61;-0.26;0.07;0;0;0;APROVADO AUTOMATICAMENTE
415214;526791;0.00;0.09;0.09;-0.21;-0.16;0;-0.32;0;-0.16;0;0;0;APROVADO AUTOMATICAMENTE
415257;528879;0.00;-0.03;-0.02;-0.44;-0.2;0;-0.62;-0.28;0.04;0;0;0;APROVADO AUTOMATICAMENTE
415305;528831;0.00;-0.17;-0.17;-0.21;-0.16;0;-0.28;-0.13;-0.09;-1;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
415552;529327;0.00;-0.48;-0.2;-0.44;-0.2;0;-0.96;-0.52;-0.89;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
415605;529256;0.00;-0.02;-0.02;-0.21;-0.16;0;-0.27;0;-0.15;0;0;0;APROVADO AUTOMATICAMENTE
415662;528492;0.00;-0.09;-0.18;-0.21;-0.16;0;-0.99;0.58;-0.99;0;0;0;APROVADO AUTOMATICAMENTE
415765;529415;0.00;-0.18;-0.18;-0.21;-0.16;0;-0.19;0;-0.15;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
415800;529537;0.00;-0.14;-0.14;-0.21;-0.16;0;-0.21;-0.17;-0.13;-1;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
416125;529139;0.00;-0.2;-0.2;-0.44;-0.2;0;-0.49;-0.14;0.23;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
416217;527436;0.00;-0.53;-0.29;-0.44;-0.2;0;-0.79;-0.67;-0.53;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
416309;529942;0.00;-0.18;-0.18;-0.44;-0.2;0;-0.51;-0.18;0.18;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
416813;529652;0.00;0.11;0.15;-0.36;-0.09;0;-0.6;-0.21;0.13;0;0;0;REQUER JUSTIFICATIVA FABRICA
416915;528710;0.00;0.15;0.21;-0.36;-0.09;0;-0.82;-0.45;-0.59;0;0;0;REQUER JUSTIFICATIVA FABRICA
421258;528476;0.00;0.31;0.35;-0.34;-0.06;0;-0.73;-0.47;-0.23;0;0;0;REQUER JUSTIFICATIVA FABRICA
421347;532893;0.00;0.36;-0.07;-0.07;-0.01;0;11.86;0;14.77;0;0;0;REQUER JUSTIFICATIVA FABRICA
421461;532804;0.00;0;0;-0.07;-0.01;0;-0.14;0;0.11;0;0;0;APROVADO AUTOMATICAMENTE
421480;517777;0.00;0.01;-0.1;0;0;0;0;0;0;0;0;0.02;APROVADO AUTOMATICAMENTE
421506;532853;0.00;-0.15;-0.27;-0.07;-0.01;0;-0.22;-0.07;-0.01;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421535;532946;0.00;0.01;0.02;-0.07;-0.01;0;-0.16;0;0.17;0;0;0;APROVADO AUTOMATICAMENTE
421586;517305;0.00;0;-0.21;0;0;0;0;0;0;0;0;0.02;APROVADO AUTOMATICAMENTE
421618;532955;0.00;-0.45;-0.16;-0.34;-0.06;0;-0.83;-0.68;-0.53;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421665;532985;0.00;-0.39;-0.39;-0.34;-0.06;0;-0.64;-0.3;0;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421771;530541;0.00;-0.19;-0.33;-0.07;-0.01;0;-0.11;-0.07;-0.22;-1;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
421813;530822;0.00;0.36;0.38;-0.34;-0.06;0;-0.53;-0.1;0.29;0;0;0;REQUER JUSTIFICATIVA FABRICA
421865;533011;0.00;0.27;0.3;-0.34;-0.06;0;-0.86;-0.48;-0.63;0;0;0;REQUER JUSTIFICATIVA FABRICA
421868;532153;0.00;-0.03;-0.03;-0.07;-0.01;0;-0.11;0;0.19;0;0;0;APROVADO AUTOMATICAMENTE
421891;533014;0.00;0.27;0.29;-0.34;-0.06;0;-0.85;-0.45;-0.61;0;0;0;REQUER JUSTIFICATIVA FABRICA
421989;533015;0.00;0.27;0.29;-0.34;-0.06;0;-0.81;-0.25;-0.46;0;0;0;REQUER JUSTIFICATIVA FABRICA
422084;532988;0.00;-0.21;-0.21;-0.34;-0.06;0;-0.61;-0.25;0.08;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
411454;518766;0.00;-0.09;-0.09;-0.23;-0.18;0;-0.22;0;-0.07;0;0;0;APROVADO AUTOMATICAMENTE
411532;526635;0.00;0.01;0.01;-0.43;-0.18;0;-0.34;0.2;0.72;0;0;0;APROVADO AUTOMATICAMENTE
411534;518643;0.00;-0.07;-0.06;-0.23;-0.18;0;-0.41;-0.12;-0.35;-1;0;0;APROVADO AUTOMATICAMENTE
411721;526752;0.00;0.03;-0.02;-0.43;-0.18;0;-0.46;-0.05;0.37;0;0;0;APROVADO AUTOMATICAMENTE
412343;526815;0.00;0.02;-0.02;-0.43;-0.18;0;-0.53;-0.08;0.32;0;0;0;APROVADO AUTOMATICAMENTE
412566;526697;0.00;0.03;0.03;-0.44;-0.2;0;-0.63;-0.35;-0.06;0;0;0;APROVADO AUTOMATICAMENTE
412700;528053;0.00;0;-0.01;-0.21;-0.16;0;-0.08;0.09;-0.19;-1;0;0;APROVADO AUTOMATICAMENTE
412729;518482;0.00;-0.12;-0.12;-0.21;-0.16;0;-0.32;0;-0.17;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
412929;527197;0.00;-0.02;0;-0.21;-0.16;0;-0.46;0;-0.4;0;0;0;APROVADO AUTOMATICAMENTE
413197;514913;0.98;0.29;-0.33;-0.21;-0.16;0;-1;0;-1;0;0;0.68;CUSTO NÃO APROVADO
413249;518758;0.00;-0.17;-0.16;-0.21;-0.16;0;-0.76;0;-0.72;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
413510;527150;0.00;0.02;0.01;-0.44;-0.2;0;-0.37;0.18;0.7;0;0;0;APROVADO AUTOMATICAMENTE
413560;528185;0.00;0.12;0.12;-0.21;-0.16;0;0.21;0;0.58;0;0;-1;CUSTO NÃO APROVADO
413879;518510;0.00;-0.18;-0.18;-0.21;-0.16;0;-0.26;0;-0.15;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
413934;527122;0.00;-0.02;-0.01;-0.44;-0.2;0;-0.52;-0.23;0.11;0;0;0;APROVADO AUTOMATICAMENTE
414070;528037;0.00;0.03;0.03;-0.44;-0.2;0;-0.46;0.02;0.47;0;0;0;APROVADO AUTOMATICAMENTE
414225;518860;0.00;-0.06;-0.07;-0.21;-0.16;0;-0.11;0;0.15;0;0;-1;APROVADO AUTOMATICAMENTE
414764;529032;0.00;-0.13;-0.12;-0.21;-0.16;0;-0.66;0;-0.54;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
402930;513590;0.00;0.11;0.01;0.29;0.51;0;0.51;1.59;1.41;-0.66;0;0;REQUER JUSTIFICATIVA FABRICA
403137;517067;0.00;0.72;0.43;0.29;0.51;0;7.89;8.92;4.72;-1;0;0;REQUER JUSTIFICATIVA FABRICA
403252;517156;0.00;0.03;0.03;-0.24;-0.19;0;-0.53;0.06;0.12;0;0;0;APROVADO AUTOMATICAMENTE
403355;515009;0.00;0.2;0.2;0.29;0.51;0;-0.32;0;0.47;0;0;0;REQUER JUSTIFICATIVA FABRICA
403442;515104;0.00;-0.02;-0.02;0.29;0.51;0;-0.27;0;0.56;0;0;0;APROVADO AUTOMATICAMENTE
403537;517384;0.00;0.06;0.08;0.29;0.51;0;-0.78;0;-0.54;0;0;-1;APROVADO AUTOMATICAMENTE
403662;513017;0.00;0.22;0.23;0.29;0.51;0;-0.4;0.16;0.52;0;0;0;REQUER JUSTIFICATIVA FABRICA
403984;513788;0.00;0.24;0.23;0.29;0.51;0;-0.02;0;1.13;0;0;0;REQUER JUSTIFICATIVA FABRICA
404043;513733;0.00;0.08;0.09;0.29;0.51;0;-0.49;0;0.12;0;0;0;APROVADO AUTOMATICAMENTE
404404;517561;0.00;-0.06;-0.11;-0.24;-0.19;0;-0.44;0.35;0.43;0;0;0;APROVADO AUTOMATICAMENTE
404534;517404;0.00;-0.5;-0.45;-0.24;-0.19;0;-0.96;-0.21;-0.87;0;0;0;REQUER JUSTIFICATIVA FABRICA
404553;517119;0.00;0.17;0.19;-0.24;-0.19;0;-0.73;0.32;-0.29;0;0;0;REQUER JUSTIFICATIVA FABRICA
404564;513940;0.00;0.19;0.19;0.29;0.51;0;-0.34;0;0.49;0;0;0;REQUER JUSTIFICATIVA FABRICA
